spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
28,0,103.04,0,0,0,144,0,0,-1
27,1,474.39,0,0,0,902,0,0,-1
26,2,214.2,0,0,0,677,0,0,-1
25,3,1094.27,0,0,0,1775,0,0,-1
24,4,163.26,0,0,0,213,0,0,-1
23,5,44.15,0,0,0,75,0,0,-1
22,6,240.68,0,0,0,439,0,0,-1
21,7,2.64,0,0,0,48,0,0,-1
20,8,94.03,0,0,0,419,0,0,-1
19,9,310.15,0,0,0,449,0,0,-1
18,10,87.7,0,0,0,147,0,0,-1
17,11,246.94,0,0,0,381,0,0,-1
16,12,0.48,0,0,0,9,0,0,-1
15,13,1.27,0,0,0,18,0,0,-1
14,14,15.82,0,0,0,160,0,0,-1
13,15,14.92,0,0,0,151,0,0,-1
12,16,0.98,0,0,0,22,0,0,-1
11,17,0.52,0,0,0,9,0,0,-1
10,18,39.77,0,0,0,64,0,0,-1
9,19,870.76,0,0,0,1432,0,0,-1
8,20,1396.95,0,0,0,1900,0,0,-1
7,21,539.42,0,0,0,659,0,0,-1
6,22,30.9,0,0,0,56,0,0,-1
5,23,18.72,0,0,0,32,0,0,-1
4,24,55.66,0,0,0,82,0,0,-1
3,25,42.7,0,0,0,63,0,0,-1
2,26,63.78,0,0,0,117,0,0,-1
1,27,170.04,0,0,0,262,0,0,-1
