"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74493.737305,2138.030000,4237,3467,172,598,0,328,1769,72355.707305,0.000000,174.757000,14,0.000000
2,74315.133856,1964.630000,4237,3472,149,616,0,298,1628,72350.503856,0.000000,156.800000,9,0.019337
3,74474.035242,2125.180000,4237,3372,236,629,0,421,1661,72348.855241,0.000000,128.400000,8,0.122863
4,74450.254589,2093.580000,4237,3412,243,582,0,162,1886,72356.674589,0.000000,215.310000,12,0.021010
5,74858.434128,2499.070000,4237,3366,388,483,0,615,1841,72359.364128,0.000000,134.750000,9,0.000000
6,74401.609649,2051.540000,4237,3498,134,605,0,319,1695,72350.069649,0.000000,202.982000,13,0.034075
7,74563.765725,2209.200000,4237,3349,428,460,0,422,1747,72354.565725,0.000000,109.256000,8,0.057280
8,74414.424836,2073.970000,4237,3457,154,626,0,490,1546,72340.454836,0.000000,148.106000,9,0.000000
9,74669.725287,2301.450000,4237,3401,470,366,0,499,1752,72368.275286,0.000000,152.546000,12,0.000000
10,74358.501479,2009.240000,4237,3436,267,534,0,352,1621,72349.261479,0.000000,158.260000,10,-0.000000
